逆順,FALSE,,名前,攻撃,防衛,,A1,A2,A3,A4,SP,SP,D1,D2,D3,D4,SP,SP,取得用,ST判定・攻撃,ST判定・防衛,SP判定・攻撃,SP判定・防衛,勝敗,マッチアップ,ユニーク,試合数,勝ち,負け,スタッツ,勝率,構築,攻撃/防衛のみ集計,試合数,,,,スタッツ,勝率,構築,簡易表示,
試合数,3,,アイリ,アイリ,.,TRUE,ハナコ（水着）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ハナコ（水着）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","ハナコ（水着）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.",8,8,0,8 - 0,1,"イオリ,エイミ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,シュン,シロコ＊テラー,.,.","T350,A650,シュン,シロコ＊テラー",11,11,10,1,10 - 1,0.9090909091,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
勝利数,0,,アイリ（バンド）,アイリ（バンド）,A550,TRUE,ホシノ,シロコ＊テラー,マリナ,シュン,シロコ（水着）,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"ホシノ,シロコ＊テラー,マリナ,シュン,シロコ（水着）,サキ,シロコ＊テラー,A650,シュン,T350,.,.","ホシノ,シロコ＊テラー,マリナ,シュン,シロコ（水着）,サキ,シロコ＊テラー,A650,シュン,T350,.,.",5,5,0,5 - 0,1,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,シロコ＊テラー,A650,.,.","T350,T350,シロコ＊テラー,A650",14,4,3,1,3 - 1,0.75,"シロコ＊テラー,ホシノ,イオリ,ハルカ,シロコ（水着）,ユズ（メイド）,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
N日,,,アオバ,アオバ,T350,FALSE,マリナ,シロコ＊テラー,ホシノ,スミレ,シロコ（水着）,ナギサ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"マリナ,シロコ＊テラー,ホシノ,スミレ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","マリナ,シロコ＊テラー,ホシノ,スミレ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",4,4,0,4 - 0,1,"スミレ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",21,12,8,4,8 - 4,0.6666666667,"コトリ（応援団）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
検索リセット,FALSE,,アカネ,アカネ,アカネ,FALSE,コトリ（応援団）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"コトリ（応援団）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","コトリ（応援団）,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.",4,4,0,4 - 0,1,"シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,シュン,T350,A650,.,.","シロコ＊テラー,シュン,T350,A650",4,3,2,1,2 - 1,0.6666666667,"マリナ,シロコ＊テラー,ホシノ,ハスミ（体操服）,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
STアイコン,TRUE,FALSE,アカネ（バニーガール）,アカネ（バニーガール）,.,TRUE,コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.",3,3,0,3 - 0,1,"コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","T350,A650,T350,シロコ＊テラー",13,3,2,1,2 - 1,0.6666666667,"アズサ,ハルカ,マリナ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
SPアイコン,TRUE,FALSE,アカリ,アカリ,A650,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ミノリ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.",3,3,0,3 - 0,1,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.","T350,A650,T350,シロコ＊テラー",13,3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
ST無視,FALSE,FALSE,アカリ（正月）,アカリ（正月）,.,TRUE,サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",3,3,0,3 - 0,1,"イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,シロコ＊テラー,シュン,.,.","T350,A650,シロコ＊テラー,シュン",3,3,2,1,2 - 1,0.6666666667,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
SP無視,FALSE,TRUE,アコ,アコ,.,FALSE,シロコ＊テラー,マリナ,イオリ,ホシノ,シロコ（水着）,ナギサ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,イオリ,ホシノ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,マリナ,イオリ,ホシノ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",3,3,0,3 - 0,1,"シロコ＊テラー,ハルカ,マリナ,ネル（制服）,シロコ（水着）,サキ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",28,3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
A,"射程, 役割, 遮蔽","射程, 役割",アコ（ドレス）,アコ（ドレス）,SUP550,FALSE,シロコ＊テラー,マリナ,ホシノ,ハルカ,シロコ（水着）,ウタハ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ホシノ,ハルカ,シロコ（水着）,ウタハ,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,マリナ,ホシノ,ハルカ,シロコ（水着）,ウタハ,T350,T350,T350,シロコ＊テラー,.,.",11,10,1,10 - 1,0.9090909091,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,8,5,3,5 - 3,0.625,"シロコ＊テラー,ホシノ,マリナ,ハルカ,アツコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
T,"役割, 射程","役割, 射程",アズサ,アズサ,A650,FALSE,シロコ＊テラー,マリナ,ハルカ,ホシノ,シロコ（水着）,ウタハ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ハルカ,ホシノ,シロコ（水着）,ウタハ,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,マリナ,ハルカ,ホシノ,シロコ（水着）,ウタハ,T350,T350,T350,シロコ＊テラー,.,.",11,9,2,9 - 2,0.8181818182,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.","シロコ＊テラー,A650,シュン,T350",14,5,2,3,2 - 3,0.4,"シロコ＊テラー,ホシノ,イオリ,マリナ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
